"EVALUATION"    , "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "Time_Iter"     , "Outer_Iter"    , "Inner_Iter"    , "RMS_DENSITY"   , "RMS_MOMENTUM-X", "RMS_MOMENTUM-Y", "RMS_ENERGY"    , "RefForce"      
22              , 0.008451443434  , -22.31530571    , 0.01256364414   , -0.1883672958   , 0.0             , -0.1885965439   , 0.0             , 0.0             , -0.0695610028   , 0.0             , 0.0             , 0.0             , 706.0           , -13.01307416    , -13.32745908    , -13.54495648    , -12.45249476    , 0.448           
23              , 0.001218989595  , 51.09258029     , -0.0001399604092, 0.06229309463   , 0.0             , 0.06228132378   , 0.0             , 0.0             , -0.03658953738  , 0.0             , 0.0             , 0.0             , 668.0           , -13.0014508     , -13.70172696    , -13.50763918    , -12.44958042    , 0.448           
24              , 0.001089672494  , 72.85531213     , -0.0006424362848, 0.07939330844   , 0.0             , 0.07938842965   , 0.0             , 0.0             , -0.03347665011  , 0.0             , 0.0             , 0.0             , 685.0           , -13.00231193    , -13.906968      , -13.52299121    , -12.45326688    , 0.448           
25              , 0.001082260483  , 74.91759141     , -0.0006867555505, 0.08108466313   , 0.0             , 0.08108034867   , 0.0             , 0.0             , -0.03315680201  , 0.0             , 0.0             , 0.0             , 683.0           , -13.01208071    , -13.92250163    , -13.53188476    , -12.46286695    , 0.448           
26              , 0.001081568047  , 75.12142172     , -0.0006911253902, 0.0812531886    , 0.0             , 0.08124892936   , 0.0             , 0.0             , -0.0331248111   , 0.0             , 0.0             , 0.0             , 682.0           , -13.00238069    , -13.91255062    , -13.52305625    , -12.45311264    , 0.448           
27              , 0.001081499249  , 75.14178654     , -0.0006915618915, 0.08127003948   , 0.0             , 0.08126578575   , 0.0             , 0.0             , -0.03312161132  , 0.0             , 0.0             , 0.0             , 682.0           , -13.00265109    , -13.91286295    , -13.52330516    , -12.4533823     , 0.448           
28              , 0.001081492374  , 75.14382284     , -0.0006916055368, 0.08127172455   , 0.0             , 0.08126747137   , 0.0             , 0.0             , -0.03312129133  , 0.0             , 0.0             , 0.0             , 682.0           , -13.0026787     , -13.91277961    , -13.52332976    , -12.45340997    , 0.448           
29              , 0.001081491687  , 75.14402647     , -0.0006916099012, 0.08127189305   , 0.0             , 0.08126763994   , 0.0             , 0.0             , -0.03312125933  , 0.0             , 0.0             , 0.0             , 682.0           , -13.00268041    , -13.91287766    , -13.52333067    , -12.45341246    , 0.448           
30              , 0.001081491618  , 75.14404683     , -0.0006916103377, 0.08127190991   , 0.0             , 0.08126765679   , 0.0             , 0.0             , -0.03312125613  , 0.0             , 0.0             , 0.0             , 682.0           , -13.00268127    , -13.91277477    , -13.52333177    , -12.45341192    , 0.448           
31              , 0.001081491611  , 75.14404887     , -0.0006916103813, 0.08127191159   , 0.0             , 0.08126765848   , 0.0             , 0.0             , -0.03312125581  , 0.0             , 0.0             , 0.0             , 682.0           , -13.00268122    , -13.91285598    , -13.52333023    , -12.45341313    , 0.448           
32              , 0.00108149161   , 75.14404907     , -0.0006916103857, 0.08127191176   , 0.0             , 0.08126765865   , 0.0             , 0.0             , -0.03312125578  , 0.0             , 0.0             , 0.0             , 682.0           , -13.0026805     , -13.91291391    , -13.52332642    , -12.4534114     , 0.448           
